,id,User_region,User_level,User_purchase_amount,Order_from,Comment_time,Order_processing_speed,Sending_out_speed,Delivery_speed,If_delivered_on_original/promised_date,If_delivered_right_product,If_intact_in_transit,If_the_last_Km_is_difficult,If_the_last_Km_is_served,Distribution_staff_service_attitude,Installer_arrival_time,Installer_arrival_speed,Installation_speed,Installation_effect,Explaining_service,Installer_service_attitude,If_installer_has_any_charges,If_the_bill_is_complete,If_any_gifts,If_any_after-sales_processes,If_any_revisiting,If_any_gifts_from_after-sales,If_contacted_customer_service,Reason_contacting_customer_service,Customer_service_processing_efficiency,If_fixing,Number_of_fixing,Fixing_result,If_replacement,Replacement_result,If_return,Return_result,After-sales_processing_efficiency,After-sales_attitude,If_problems_solved,Product_model,If_price_changed_in_a_short_time,Changing_price,Compared_to_different_channel_prices,Price_gap,Product_functional_diversity,Energy_saving_index,Performance_index,Noise_situation,Aesthetics_performance,Intactness_performance,If_product_is_faulty,Fault_index,Ease_of_use,Brand_awareness_to_Haier,Awareness_to_product,Cost-effective_satisfaction,Reputation_and_price_satisfaction,Order_processing_satisfaction,Logistics_distribution_satisfaction,Installation_satisfaction,After-sales_service_satisfaction,Product_quality_satisfaction,Consistent_with_the_description_satisfaction,Compared_with_pre-purchase_expectations_satisfaction,Customer_satisfaction,Customer_satisfaction_level,Customer_complaints_index,Will_of_repurchase_the_same_brand_and_the_same_kind_of_product,Will_of_repurchase_the_same_brand,Recommended_to_buy_index
83,84,,银牌会员,高,iphone客户端,20151221  8:55:00 AM,3,3,3,1,1,1,0,1,3,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,价格波动,2.0,0,,,0,,0.0,,2.0,2.0,0.0,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,-1,100.0,0,,3,3,3,3,3,3,0,,3,3,3,3,2,3,3,3,1.0,4,3,3,3,中评,4,2,3,2
84,85,云南,PLUS会员,高,android客户端,2016612  7:26:00 AM,3,3,4,1,1,1,0,1,4,当天下午,3.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,安装问题,1.0,0,,,0,,0.0,,1.0,4.0,0.0,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,0,,0,,3,3,3,3,3,3,0,,3,2,2,3,3,4,4,2,3.0,3,3,3,2,中评,4,3,2,2
85,86,江苏,PLUS会员,高,android客户端,2016318  8:41:00 PM,4,3,3,1,1,1,0,1,3,配送员安装,3.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,0,,0,,3,3,1,3,3,3,0,,1,4,2,2,3,3,3,3,2.0,3,2,2,2,中评,3,1,3,1
86,87,,钻石会员,高,android客户端,2016412  7:34:00 PM,3,3,3,1,1,1,0,1,3,大于一周,1.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,1,0,0,1,质量问题,1.0,0,,,0,,0.0,,1.0,1.0,0.0,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,0,,0,,3,3,3,1,3,3,1,5.0,3,1,1,3,3,3,3,3,1.0,3,2,2,2,中评,5,1,1,1
87,88,,银牌会员,高,微信购物,2016620  11:31:00 PM,4,3,3,1,1,1,0,1,3,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,0,,0,,3,3,3,3,1,1,0,,3,3,3,3,3,1,1,3,3.0,2,3,3,1,差评,4,3,3,3
88,89,云南,钻石会员,高,iphone客户端,2016621  9:35:00 AM,3,3,3,1,1,1,0,1,3,无安装服务,,,,,,,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,0,,0,,3,3,3,3,3,3,0,,3,2,2,3,3,3,3,1,1.0,3,3,3,1,差评,5,3,3,3
89,90,广东,金牌会员,高,网页购物,2016327  2:58:00 PM,4,3,3,1,1,1,0,1,3,次日,3.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,0,,0,,3,3,3,2,3,3,0,,1,3,3,1,3,3,3,3,2.0,3,2,2,1,差评,4,1,3,1
90,91,北京,钻石会员,高,android客户端,201651  2:00:00 PM,3,3,3,1,1,1,0,1,3,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,1,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,0,,0,,3,3,3,2,3,3,0,,4,4,4,4,3,3,3,3,4.0,4,4,4,4,好评,2,2,4,3
91,92,北京,PLUS会员,高,android客户端,201681  5:24:00 PM,4,3,3,1,1,0,0,1,3,无安装服务,,,,,,,1.0,0.0,1,0,0,1,预约安装,1.0,0,,,0,,0.0,,1.0,1.0,0.0,海尔(Haier)80升空气能热水器(一体壁挂式) 智能APP远程遥控电热水器 KG1580-AE3-U1,0,,0,,3,3,3,3,3,3,0,,3,2,2,3,3,3,2,1,2.0,3,3,3,1,差评,5,2,2,3
92,93,,PLUS会员,高,android客户端,20161113  8:07:00 PM,2,3,3,1,1,1,0,1,3,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)65升空气能热水器(一体壁挂式)智能APP远程遥控电热水器KG1565-AE3-U1,0,,0,,3,3,3,2,3,3,0,,3,3,4,4,3,3,3,3,3.0,3,3,4,5,好评,1,3,3,3
93,94,广东,PLUS会员,高,android客户端,2017125  5:57:00 PM,4,4,5,1,1,1,0,1,3,,4.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,质量问题,4.0,1,3.0,0.0,1,1.0,0.0,,4.0,4.0,1.0,海尔(Haier)65升空气能热水器(一体壁挂式)智能APP远程遥控电热水器KG1565-AE3-U1,0,,0,,3,3,3,2,3,3,1,4.0,3,3,3,3,3,3,3,3,4.0,2,3,3,5,好评,2,3,3,2
94,95,,银牌会员,高,网页购物,2016613  7:42:00 PM,2,3,3,1,1,1,0,1,3,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)65升空气能热水器(一体壁挂式)智能APP远程遥控电热水器KG1565-AE3-U1,0,,0,,3,3,3,2,3,3,0,,3,3,3,3,3,3,3,3,3.0,3,3,3,4,好评,2,3,3,3
95,96,山东,钻石会员,高,android客户端,20161124  9:11:00 AM,3,3,3,1,1,1,0,1,3,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)65升空气能热水器(一体壁挂式)智能APP远程遥控电热水器KG1565-AE3-U1,0,,0,,3,3,2,2,3,3,0,,3,3,3,3,3,3,3,3,3.0,3,3,2,5,好评,2,3,3,3
96,97,,PLUS会员,高,iphone客户端,2016321  9:30:00 AM,3,3,3,1,1,1,0,1,3,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)65升空气能热水器(一体壁挂式)智能APP远程遥控电热水器KG1565-AE3-U1,0,,0,,5,3,3,3,3,3,0,,3,3,3,4,3,3,3,3,3.0,3,4,4,5,好评,1,4,3,3
97,98,上海,PLUS会员,高,iphone客户端,2016729  10:12:00 PM,4,3,3,1,1,1,0,1,3,,3.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)65升空气能热水器(一体壁挂式)智能APP远程遥控电热水器KG1565-AE3-U1,0,,0,,3,3,3,2,3,3,0,,2,2,2,3,3,3,3,2,2.0,3,3,3,5,好评,2,3,2,3
98,99,,PLUS会员,高,网页购物,2016620  11:43:00 AM,3,3,3,1,1,1,0,1,3,第三日,3.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0,0,0,1,质量问题,1.0,0,,,0,,0.0,,2.0,1.0,0.0,海尔(Haier)65升空气能热水器(一体壁挂式)智能APP远程遥控电热水器KG1565-AE3-U1,0,,0,,3,3,3,1,3,3,1,1.0,2,2,1,2,3,3,3,2,1.0,3,3,2,3,中评,4,2,1,1
99,100,,银牌会员,高,iphone客户端,2016821  12:36:00 AM,3,3,3,1,1,1,0,1,3,三到七日,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔(Haier)65升空气能热水器(一体壁挂式)智能APP远程遥控电热水器KG1565-AE3-U1,0,,0,,3,3,3,3,3,3,0,,1,2,2,3,3,3,3,1,3.0,3,3,3,2,中评,3,3,3,3
100,101,广东,金牌会员,中,网页购物,201729  9:26:00 PM,5,5,5,1,1,1,0,1,3,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,0,,3,4,5,5,3,3,0,,3,5,5,5,3,5,5,5,,5,3,5,5,好评,1,3,5,4
101,102,重庆,银牌会员,中,android客户端,201726  10:16:00 AM,3,3,3,1,1,1,0,1,3,,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,1,200.0,3,3,3,3,3,3,0,,3,4,4,5,4,3,3,3,,4,3,3,5,好评,1,3,4,4
102,103,,金牌会员,中,android客户端,201725  9:52:00 PM,3,2,2,1,1,1,0,1,4,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,0,,3,3,5,5,3,3,0,,3,5,5,4,4,3,2,5,,5,3,3,5,好评,1,3,5,5
103,104,浙江,金牌会员,中,android客户端,201727  1:42:00 PM,3,5,5,1,1,1,0,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,1,300.0,3,3,3,2,3,3,0,,3,5,3,4,5,3,5,5,,2,3,3,5,好评,2,3,5,3
104,105,上海,钻石会员,中,iphone客户端,201729  10:28:00 AM,3,3,3,1,1,1,0,1,3,次日,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,0,,3,3,4,3,3,3,0,,3,5,4,3,3,3,3,4,,4,3,3,5,好评,1,4,5,4
105,106,,钻石会员,中,android客户端,201724  11:05:00 PM,3,3,3,1,1,1,1,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,0,,3,3,3,3,3,3,0,,3,5,3,3,3,3,5,5,,3,3,3,5,好评,1,3,5,5
106,107,,银牌会员,中,android客户端,2017210  5:04:00 PM,3,3,3,1,1,1,1,1,5,配送员安装,5.0,3.0,3.0,3.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,0,,3,3,3,3,5,5,0,,3,5,3,3,3,3,5,5,,4,4,4,5,好评,1,5,5,5
107,108,,金牌会员,中,android客户端,201729  6:50:00 PM,3,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,0,,3,3,3,3,4,4,0,,3,3,2,2,3,3,3,3,,4,3,3,5,好评,3,2,3,3
108,109,山东,PLUS会员,中,android客户端,201729  9:33:00 AM,3,3,3,1,1,1,0,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,0,,4,3,4,3,5,4,0,,3,5,5,4,3,3,3,5,,5,3,4,5,好评,1,4,4,4
109,110,,银牌会员,中,iphone客户端,201724  12:04:00 AM,3,3,2,0,1,1,1,1,3,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）8公斤 变频滚筒洗衣机 消毒洗 3年质保 EG8012B29WE,0,,0,,3,3,2,2,3,3,0,,3,3,2,2,3,3,3,3,,2,2,2,4,好评,3,2,3,2
110,111,河南,钻石会员,中,网页购物,2016125  11:57:00 AM,3,3,3,0,1,1,0,1,3,无安装服务,,,,,,,1.0,0.0,1,0,0,1,价格波动,4.0,0,,,0,,1.0,0.0,2.0,3.0,0.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,-1,300.0,0,,3,3,3,3,3,3,0,,3,3,3,2,1,3,3,3,1.0,3,3,2,1,差评,4,2,3,1
111,112,天津,钻石会员,中,android客户端,20161212  8:39:00 AM,3,3,1,0,1,1,0,1,3,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,1,物流配送,3.0,0,,,0,,0.0,,2.0,1.0,1.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,1,3,2,3,1,1,3,1.0,3,3,1,1,差评,4,2,2,1
112,113,浙江,PLUS会员,中,网页购物,20161120  12:05:00 PM,4,3,3,1,1,1,0,1,3,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,2,1,1,3,3,3,3,,1,1,1,1,差评,5,1,2,1
113,114,,金牌会员,中,iphone客户端,20161116  10:33:00 PM,3,3,3,0,1,1,0,1,2,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,1,物流配送,2.0,0,,,0,,0.0,,1.0,2.0,1.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,3,3,3,3,3,1,1,1.0,3,3,2,1,差评,5,2,2,1
114,115,,银牌会员,中,android客户端,20161212  10:45:00 PM,3,3,1,0,1,1,0,1,4,无安装服务,,,,,,,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,2,3,2,0,,3,2,2,3,3,2,4,3,,2,3,3,5,好评,3,2,3,2
115,116,,银牌会员,中,android客户端,20161026  2:02:00 PM,3,4,3,0,1,1,1,0,2,配送员安装,3.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,1,2,3,3,3,1,1,,3,3,1,1,差评,5,1,2,1
116,117,北京,金牌会员,中,android客户端,201715  11:52:00 AM,4,3,3,1,1,1,0,1,4,配送员安装,3.0,3.0,5.0,3.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,5,3,3,4,3,3,0,,4,4,5,4,3,3,3,5,,4,5,5,5,好评,1,4,4,5
117,118,广东,金牌会员,中,网页购物,2016118  10:03:00 AM,3,3,3,1,1,1,1,1,5,配送员安装,3.0,3.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,3,3,3,3,3,3,5,,3,3,3,5,好评,1,3,3,3
118,119,,金牌会员,中,android客户端,2016125  9:36:00 PM,4,4,5,1,1,1,0,1,4,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,5,2,2,5,5,3,0,,4,4,4,5,3,4,5,3,,4,5,5,5,好评,2,4,4,4
119,120,山东,金牌会员,中,网页购物,2017110  9:31:00 AM,1,1,1,0,1,1,0,1,3,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,1,物流配送,1.0,0,,,0,,0.0,,1.0,2.0,1.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,4,4,4,4,4,4,0,,4,3,4,3,3,1,1,3,1.0,4,4,3,5,好评,3,3,3,3
120,121,广东,钻石会员,中,iphone客户端,20161111  9:19:00 AM,4,3,3,1,1,1,0,1,3,配送员安装,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,4,3,3,4,3,3,0,,4,2,4,4,3,3,3,2,,4,4,4,5,好评,2,3,2,3
121,122,,银牌会员,中,网页购物,20161115  7:06:00 PM,3,3,4,1,1,1,0,1,3,配送员安装,3.0,3.0,4.0,3.0,4.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,2,5,3,2,0,,4,4,3,3,3,3,3,4,1.0,2,3,2,3,中评,3,3,3,3
122,123,天津,金牌会员,中,android客户端,2016122  10:52:00 AM,3,3,3,1,1,1,0,1,3,第三日,2.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,1,0,0,1,预约安装,3.0,0,,,0,,0.0,,1.0,1.0,0.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,2,3,4,3,3,3,1,1.0,3,3,3,5,好评,3,3,3,3
123,124,广东,金牌会员,中,iphone客户端,20161128  8:41:00 AM,3,3,3,1,0,1,0,1,3,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,1,物流配送,3.0,0,,,1,1.0,0.0,,1.0,3.0,1.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,1,3,3,3,1,3,3,1.0,3,3,2,1,差评,4,2,2,2
124,125,,银牌会员,中,iphone客户端,2016105  7:19:00 PM,3,3,3,1,1,1,0,1,3,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,质量问题,3.0,0,,,1,0.0,1.0,0.0,3.0,1.0,0.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,1,3,3,0,,3,1,1,2,3,3,3,3,1.0,3,1,1,1,差评,5,1,1,1
125,126,河北,金牌会员,中,iphone客户端,201714  6:16:00 PM,4,3,3,1,1,1,0,1,3,次日,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,0,1,预约安装,3.0,0,,,0,,0.0,,1.0,1.0,0.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,1,3,3,3,3,3,1,1.0,3,3,2,1,差评,4,2,1,2
126,127,山东,PLUS会员[试用],中,android客户端,2017114  9:39:00 AM,5,3,4,1,1,1,0,0,1,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,3,3,3,3,3,3,0,,3,1,3,3,3,1,1,3,1.0,3,3,1,1,差评,5,1,1,1
127,128,广西,银牌会员,中,网页购物,20161213  9:47:00 AM,4,3,3,1,1,1,0,1,3,配送员安装,3.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,安装问题,3.0,0,,,0,,0.0,,3.0,3.0,1.0,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,5,3,3,3,3,3,0,,5,4,4,4,3,3,4,3,2.0,4,4,4,5,好评,2,4,4,4
128,129,,金牌会员,中,android客户端,20161227  4:45:00 PM,3,3,3,1,1,1,0,1,5,配送员安装,3.0,3.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,1,200.0,0,,4,3,3,3,3,3,0,,3,3,4,3,2,3,3,5,,3,3,3,5,好评,2,3,3,3
129,130,重庆,金牌会员,中,android客户端,201719  11:17:00 AM,4,3,3,1,1,1,0,1,3,配送员安装,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,,,,,,海尔（Haier）EG8012HB86S 8公斤洗烘一体变频滚筒洗衣机  免熨烫烘干 3年质保,0,,0,,5,5,5,5,5,5,0,,5,2,5,4,4,4,4,4,,4,4,4,1,差评,4,3,1,3
